# Sensor Lenin Avenue, Кировский район, Russia (Citizen Science project sensor.community/50231)
# https://aqicn.org/station/@158917/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-06-20T00:00:00.000Z,0.2,2.13,0.45,0.32,0.55,0.291,83
2021-06-21T00:00:00.000Z,1.5,14.8,5.78,4.22,9.13,3.435,150
2021-06-22T00:00:00.000Z,1,31.23,6.75,3.75,14.55,6.873,214
2021-06-23T00:00:00.000Z,0.4,26.2,2.58,1.01,4.88,4.211,273
2021-06-24T00:00:00.000Z,0.6,6.57,1.94,1.35,2.67,0.968,250
2021-06-25T00:00:00.000Z,0.8,17.85,3.6,2.7,4.55,1.636,277
2021-06-26T00:00:00.000Z,1.2,14.07,4.09,2.38,7.1,2.819,287
2021-06-27T00:00:00.000Z,1.35,10.55,2.95,2.15,4.93,2.234,297
2021-06-28T00:00:00.000Z,1.63,31.42,6.1,3.95,16.14,7.476,260
2021-06-29T00:00:00.000Z,0.7,34.85,2.33,1.1,3.83,3.021,280
2021-06-30T00:00:00.000Z,1.88,20.7,4.45,3.17,5.39,2.054,277
2021-07-01T00:00:00.000Z,1.58,25.52,6.1,4.53,16.64,6.535,238
2021-07-02T00:00:00.000Z,3.55,21.7,12.15,5.8,14.3,4.737,227
2021-07-03T00:00:00.000Z,6.5,20.39,12.7,10.77,16.35,3.395,285
2021-07-04T00:00:00.000Z,15.43,17.92,16.95,16.12,17.64,0.818,16
2021-07-06T00:00:00.000Z,0.5,29.17,2.52,1.26,19.62,8.761,269
2021-07-07T00:00:00.000Z,0.4,10.88,1.32,0.9,3.8,1.962,252
2021-07-08T00:00:00.000Z,0.75,3.6,1.4,1.1,1.8,0.584,271
2021-07-09T00:00:00.000Z,1.7,20.55,3.75,2.8,13.82,6.003,303
2021-07-10T00:00:00.000Z,3.58,26.92,10.77,6.55,14.45,4.704,303
2021-07-11T00:00:00.000Z,1.35,19.6,4.84,3.1,11.95,5.251,326
2021-07-12T00:00:00.000Z,6.45,37.7,10.07,8.32,12.05,3.193,258
2021-07-13T00:00:00.000Z,4,12.1,6.43,5,8.85,2.166,218
2021-07-14T00:00:00.000Z,2.1,12.8,5.93,4.8,8.43,2.4,242
2021-07-15T00:00:00.000Z,0.7,10.52,2.17,1.3,5.7,2.845,285
2021-07-16T00:00:00.000Z,0.6,9.43,1.8,1.08,3.35,2.57,251
2021-07-17T00:00:00.000Z,1.1,11.1,2.13,1.73,2.94,2.609,313
